CountryCodeID,CountryCode,CountryName,ProductID,ProductName,DataTypeID,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,ColourCode
160,AF,Afghanistan,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,AB,Albania,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.2,2.3,3.1,3.4,6.6,10.5,14.0,18.8,18.80,17.32,,,,,,,,,,,,,,,,,,
164,AL,Algeria,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,AS,American Samoa,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,RR,Andorra,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,AG,Angola,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,AI,Anguilla,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,AA,Antigua,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,AR,Argentina,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,16.0,13.1,18.1,17.7,10.7,5.2,3.4,2.7,2.7,3.0,1.8,1.2,1.5,1.43,,,,,,,,,,,,,,,,,,
165,AM,Armenia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,17.5,24.4,9.9,5.4,2.1,1.9,2.5,2.4,4.3,4.9,3.0,3.4,4.4,5.56,,,,,,,,,,,,,,,,,,
171,AZ,Aruba,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,AU,Australia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,0.4,0.3,0.2,0.2,0.6,0.6,1.3,2.0,2.2,2.0,1.9,1.54,,,,,,,,,,,,,,,,,,
169,AT,Austria,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.3,3.0,3.0,2.7,2.6,2.7,2.2,1.9,2.3,2.8,2.7,2.7,2.89,,,,,,,,,,,,,,,,,,
163,AJ,Azerbaijan,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,BM,Bahamas,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,BH,Bahrain,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,BG,Bangladesh,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,34.9,31.5,28.1,22.1,17.5,13.2,12.8,14.5,11.2,13.94,14.00,12.41,13.78,13.81,,,,,,,,,,,,,,,,,,
172,BB,Barbados,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,BL,Belarus,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,10.8,14.9,9.0,3.7,2.8,3.1,2.8,1.9,1.7,4.2,3.5,4.2,3.9,3.80,,,,,,,,,,,,,,,,,,
174,BE,Belgium,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.9,3.0,2.6,2.3,2.0,1.3,1.4,1.7,2.7,2.8,2.8,3.08,3.39,,,,,,,,,,,,,,,,,,
186,BZ,Belize,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,BI,Benin,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,BD,Bermuda,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,BN,Bhutan,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,5.2,3.9,8.2,8.67,,,,,,,,,,,,,,,,,,
185,BV,Bolivia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,10.3,16.2,17.7,16.7,14.0,11.3,8.7,5.6,4.3,3.5,2.2,1.7,1.7,1.71,,,,,,,,,,,,,,,,,,
183,BS,Bosnia-Herzegovina,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,9.9,5.9,11.0,8.4,6.1,5.3,4.0,3.0,3.1,5.9,11.4,11.9,12.6,12.32,,,,,,,,,,,,,,,,,,
360,SW,Botswana,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,BR,Brazil,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,8.3,5.6,4.5,4.1,2.9,3.5,3.5,3.0,3.1,4.2,3.1,3.5,3.6,3.49,,,,,,,,,,,,,,,,,,
386,VI,British Virgin Islands,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,EI,Brunei,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,BU,Bulgaria,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,17.3,3.3,2.6,3.2,2.0,2.2,2.2,2.1,2.5,6.4,11.9,14.9,16.9,17.21,,,,,,,,,,,,,,,,,,
175,BF,Burkina Faso,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,UU,Burundi,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,CB,Cambodia,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,OO,Cameroon,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,CA,Canada,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.5,1.6,1.2,0.7,0.5,0.4,0.4,0.8,1.3,1.2,0.8,0.6,0.63,,,,,,,,,,,,,,,,,,
207,CV,Cape Verde,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,CM,Cayman Islands,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,AC,Central African Republic,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,CD,Chad,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,CL,Chile,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,1.8,1.6,1.2,0.9,0.8,0.8,1.0,2.9,2.7,2.4,2.4,2.36,,,,,,,,,,,,,,,,,,
195,CN,China,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,22.4,29.8,26.0,20.4,13.2,8.6,7.1,6.2,2.4,1.6,1.1,1.0,0.9,0.66,,,,,,,,,,,,,,,,,,
202,CO,Colombia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.7,8.7,6.8,3.3,2.7,2.7,3.2,3.9,4.0,2.9,2.5,3.0,2.97,,,,,,,,,,,,,,,,,,
308,MS,Comoros,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,ZI,"Congo, Democratic Republic",133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,CG,Congo-Brazzaville,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,RI,Costa Rica,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.4,3.2,1.7,2.0,1.4,1.4,1.2,1.5,2.0,1.9,1.8,1.8,1.66,,,,,,,,,,,,,,,,,,
192,CI,C?te d'Ivoire,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,CR,Croatia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,9.5,7.3,10.2,8.9,7.5,6.2,5.2,4.8,4.9,7.7,11.1,12.3,13.2,11.46,,,,,,,,,,,,,,,,,,
206,CU,Cuba,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,CC,Curacao,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,CY,Cyprus,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.5,5.6,9.6,10.7,11.26,,,,,,,,,,,,,,,,,,
205,CS,Czech Republic,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,29.3,13.7,8.1,4.9,4.0,3.9,3.6,2.4,2.8,4.6,5.4,5.2,5.1,5.46,,,,,,,,,,,,,,,,,,
214,DK,Denmark,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.8,0.7,0.4,0.5,0.6,1.2,3.3,4.1,3.7,4.0,3.64,,,,,,,,,,,,,,,,,,
213,DJ,Djibouti,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,DM,Dominica,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,DR,Dominican Republic,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,4.9,8.7,7.3,5.9,4.5,4.0,3.4,4.0,2.9,2.6,3.2,2.76,,,,,,,,,,,,,,,,,,
230,EC,Ecuador,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,31.0,13.4,8.4,7.9,6.4,4.9,4.1,3.7,3.4,4.1,3.5,3.2,2.71,2.93,,,,,,,,,,,,,,,,,,
232,EG,Egypt,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,13.6,16.9,20.2,24.2,23.6,26.5,18.2,19.3,14.8,13.4,13.6,10.9,10.7,10.92,,,,,,,,,,,,,,,,,,
294,LS,El Salvador,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,4.3,15.8,2.8,2.3,1.9,1.9,2.1,2.8,3.7,3.9,3.6,3.4,2.90,,,,,,,,,,,,,,,,,,
235,EQ,Equatorial Guinea,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
